"funny, laughter, joke, comedian"
"sad, upset, crying, hurt"
"happy, joy, smile"
" thinking, question, learning, curious, mystery student, learning, school"
"celebration, party, birthday"
"scared, worried, concerned"
"angry, mad, upset, hatred, frustrated"
"shocked, OMG, surprise, exasperated"
" computer, technology, social media"
"money, job, stocks"
"sleepy, tired, sleep, bed, night"
"gross, disgusting, throw up, puke, queasy"
" dead, deathly, poison, fossil, afterlife"
" good, great, ok, agreed"
"bad, no, disagree"
" empowerment, movement"
"teamwork, agreement"
" workout, sports, athlete, gym, muscle"
"religion, prayer, praise, beg"
"beauty, cosmetics, fashion"
" baby, kid, child, young"
 man
woman
" elderly, old"
"love, relationship, significant other, marriage"
"construction, building"
"ocean, sea, ship, water"
"justice, law, government, politics"
"pet, animal, vet"
"nature, plants, farming, science, earth, recycle, go green"
"music, musician, instruments, artist, song"
" weather, rain, water"
"food, dessert, snack, chef, kitchen"
"drinks, alcohol, party"
"space, explore, astronaut, launch, flight, travel, plane, pilot, sky"
"winning, award, achievement"
"entertainment, acting, movie"
"hospital, sickness, injury, doctor, medicine, emergency"
"fire, firefighters, 911"
"home, house, living, family, domestic"
